AREAKEY,TRCTPOP7,SHRWHT7,SHRBLK7,SHRHSP7,FAVINC7,AVHHIN7,TRCTPOP8,SHRWHT8,SHRBLK8,SHRHSP8,TRVLPB8N,TRVLPB8D,FAVINC8,AVHHIN8,MDGRENT8,TRCTPOP9,SHRWHT9,SHRBLK9,SHRHSP9,TRVLPB9N,TRVLPB9D,FAVINC9,AVHHIN9,MDGRENT9,TRCTPOP0,SHRWHT0,SHRBLK0,SHRHSP0,TRVLPB0N,TRVLPB0D,FAVINC0,AVHHIN0,MDGRENT0,TRCTPOP1,SHRWHT1,SHRBLK1,SHRHSP1,TRVLPB1A,FAVINC1A,AVHHIN1A,MDGRENT1A
06037189101,2066,0.968054,0.007260,0.116167,15835.527145,12105.639166,2195,0.849658,0.027790,0.116173,81,1139,37081.206000,25375.741857,290,2426,0.766282,0.032564,0.169002,69,1194,50218.168279,40994.923562,650,2430,0.737860,0.036626,0.164609,68,1221,55278.786780,53592.303077,763,2743,0.765585,0.036092,0.139628,0.103,73434.370,79154.322,1510
06037189201,1408,0.952415,0.006392,0.105824,15651.497143,10992.782369,1442,0.859917,0.015257,0.101248,102,686,36155.656347,23812.588317,230,1654,0.793229,0.038694,0.164450,67,731,58959.652661,49986.212401,547,1601,0.750156,0.044347,0.138039,88,755,76811.255319,58766.566327,676,3293,0.773155,0.046159,0.142727,0.186,35998.611,40769.736,1035
06037191201,2718,0.861663,0.012509,0.228477,9505.080214,7287.879811,3921,0.667687,0.053813,0.230043,325,1980,18932.454290,14364.270833,224,4681,0.708182,0.046999,0.431959,597,1927,27505.765445,27871.358333,475,4774,0.616255,0.042103,0.361542,312,1672,35258.560523,28983.808438,542,4591,0.672620,0.044870,0.299281,0.224,52638.351,38449.489,842
06037191203,1593,0.830508,0.011927,0.234777,9255.400517,7326.192875,2723,0.704003,0.021300,0.266985,302,1240,16489.988077,13802.450857,227,3404,0.664806,0.022620,0.445946,395,1366,24190.398241,24838.652612,514,3284,0.505177,0.029842,0.553593,292,1059,25591.125000,25273.166667,560,2922,0.472964,0.053046,0.451403,0.416,41054.977,36513.033,841
06037191302,2306,0.603209,0.200347,0.244579,8788.186312,7142.455061,2839,0.545967,0.112364,0.416696,321,1246,15410.172800,13194.843610,206,3402,0.339212,0.069665,0.505879,381,1540,32073.095550,30033.512866,487,3388,0.381641,0.056966,0.548111,279,1306,33670.107191,30896.912605,560,2422,0.419901,0.050784,0.475227,0.236,55314.347,55769.556,873
06037195300,2979,0.855656,0.025512,0.216180,9684.346103,7716.368022,3136,0.610332,0.021684,0.280931,263,1525,17966.512859,14386.463415,230,3703,0.563597,0.043478,0.361599,168,1610,35871.198932,32632.515840,569,3596,0.576474,0.030033,0.374861,162,1539,52162.344828,44751.124339,661,3203,0.668748,0.027162,0.303778,0.097,76964.912,60280.580,1019
