AREAKEY,TRCTPOP7,SHRWHT7,SHRBLK7,SHRHSP7,FAVINC7,AVHHIN7,TRCTPOP8,SHRWHT8,SHRBLK8,SHRHSP8,TRVLPB8N,TRVLPB8D,FAVINC8,AVHHIN8,MDGRENT8,TRCTPOP9,SHRWHT9,SHRBLK9,SHRHSP9,TRVLPB9N,TRVLPB9D,FAVINC9,AVHHIN9,MDGRENT9,TRCTPOP0,SHRWHT0,SHRBLK0,SHRHSP0,TRVLPB0N,TRVLPB0D,FAVINC0,AVHHIN0,MDGRENT0,TRCTPOP1,SHRWHT1,SHRBLK1,SHRHSP1,TRVLPB1A,FAVINC1A,AVHHIN1A,MDGRENT1A
06037530500,4594,0.984327,0.000000,0.981062,7631.468172,7086.021998,3999,0.398850,0.000000,0.987247,104,1211,17804.489415,16355.343552,196,4462,0.312192,0.003362,0.986553,164,1489,29906.590164,28732.046748,441,4576,0.449519,0.000874,0.977054,143,1164,34974.028857,31878.715919,568,4567,0.533173,0.005912,0.980512,0.095,54658.643,48000.249,760
06037531503,4531,0.985654,0.004855,0.907526,7402.760204,6707.639640,4904,0.398654,0.000000,0.973695,348,1632,15084.289552,14115.605657,200,5111,0.319703,0.000000,0.979260,256,1770,28707.763916,28033.851635,506,5329,0.386001,0.007318,0.976356,261,1499,44778.687739,41522.412146,627,3116,0.533697,0.002246,0.980745,0.260,38459.598,40039.318,850
06037531504,1960,0.985714,0.005102,0.907143,7397.554245,6706.342803,2121,0.398868,0.000000,0.973597,151,706,15067.314943,14079.930902,200,2210,0.319910,0.000000,0.979186,111,766,28676.407982,28022.554264,506,2305,0.386117,0.007809,0.976139,113,649,44716.482301,41440.973832,627,4414,0.543498,0.005890,0.973040,0.151,49268.482,46106.052,856
06037531603,2647,0.979977,0.000378,0.935021,8473.303514,7484.757614,2871,0.608847,0.003831,0.949147,182,962,15781.256449,14542.491184,198,3511,0.317573,0.003703,0.970094,148,1188,26819.189679,26048.545783,505,3539,0.417915,0.002261,0.981351,109,925,44596.940195,41353.679131,625,3568,0.529709,0.005325,0.977298,0.052,50045.649,45621.875,942
