AREAKEY,TRCTPOP7,SHRWHT7,SHRBLK7,SHRHSP7,FAVINC7,AVHHIN7,TRCTPOP8,SHRWHT8,SHRBLK8,SHRHSP8,TRVLPB8N,TRVLPB8D,FAVINC8,AVHHIN8,MDGRENT8,TRCTPOP9,SHRWHT9,SHRBLK9,SHRHSP9,TRVLPB9N,TRVLPB9D,FAVINC9,AVHHIN9,MDGRENT9,TRCTPOP0,SHRWHT0,SHRBLK0,SHRHSP0,TRVLPB0N,TRVLPB0D,FAVINC0,AVHHIN0,MDGRENT0,TRCTPOP1,SHRWHT1,SHRBLK1,SHRHSP1,TRVLPB1A,FAVINC1A,AVHHIN1A,MDGRENT1A
06037191203,1593,0.830508,0.011927,0.234777,9255.400517,7326.192875,2723,0.704003,0.021300,0.266985,302,1240,16489.988077,13802.450857,227,3404,0.664806,0.022620,0.445946,395,1366,24190.398241,24838.652612,514,3284,0.505177,0.029842,0.553593,292,1059,25591.125000,25273.166667,560,2922,0.472964,0.053046,0.451403,0.416,41054.977,36513.033,841
06037191204,1283,0.830086,0.012471,0.234606,9277.202572,7333.861069,2193,0.704058,0.021432,0.266758,243,999,16474.672828,13791.814318,227,2742,0.664478,0.022611,0.445660,318,1101,24159.738318,24833.335609,514,2543,0.572945,0.016123,0.425482,207,950,36985.590278,32105.498282,582,2124,0.535782,0.031544,0.458569,0.330,79004.375,58257.858,890
06037191301,1493,0.602813,0.199598,0.243804,8802.541176,7146.089181,1837,0.545455,0.111595,0.416440,207,806,15435.054455,13203.763812,206,2201,0.339391,0.069060,0.505679,246,996,32180.243408,30061.078189,487,2192,0.381843,0.056569,0.548358,180,845,33752.586134,30955.492848,560,2327,0.422003,0.051998,0.566824,0.188,60428.991,52549.395,1046
06037191302,2306,0.603209,0.200347,0.244579,8788.186312,7142.455061,2839,0.545967,0.112364,0.416696,321,1246,15410.172800,13194.843610,206,3402,0.339212,0.069665,0.505879,381,1540,32073.095550,30033.512866,487,3388,0.381641,0.056966,0.548111,279,1306,33670.107191,30896.912605,560,2422,0.419901,0.050784,0.475227,0.236,55314.347,55769.556,873
06037191410,2923,0.717072,0.068081,0.325009,8045.604198,6022.037370,4185,0.472879,0.032736,0.582079,539,1724,12526.167763,11118.787979,211,5356,0.440067,0.030620,0.702016,731,2231,22760.663577,23300.360667,483,4957,0.312689,0.051039,0.785354,428,1542,26370.593870,24533.790850,527,5092,0.372938,0.047329,0.731147,0.364,36834.328,35321.202,810
06037191420,1969,0.717115,0.068055,0.325038,8048.957684,6022.822199,2818,0.472676,0.032647,0.581973,363,1161,12509.487805,11114.367647,211,3607,0.440255,0.030773,0.701968,493,1502,22749.585970,23304.194059,483,3732,0.340836,0.023580,0.684620,379,1456,42675.457875,38490.877498,552,3365,0.406538,0.024666,0.699851,0.415,40719.226,42449.492,881
06037191500,4268,0.827085,0.033271,0.236645,10415.532995,8365.291502,4411,0.595330,0.059624,0.272501,398,1907,18272.794562,16345.393362,261,5476,0.585829,0.035245,0.499452,541,2323,29221.362389,27959.729831,563,5756,0.436067,0.010945,0.601981,473,1787,34286.909373,35628.528529,568,5551,0.459377,0.023239,0.606918,0.244,53157.475,48038.048,901
