AREAKEY,TRCTPOP7,SHRWHT7,SHRBLK7,SHRHSP7,FAVINC7,AVHHIN7,TRCTPOP8,SHRWHT8,SHRBLK8,SHRHSP8,TRVLPB8N,TRVLPB8D,,FAVINC8,AVHHIN8,MDGRENT8,TRCTPOP9,SHRWHT9,SHRBLK9,SHRHSP9,TRVLPB9N,TRVLPB9D,,FAVINC9,AVHHIN9,MDGRENT9,TRCTPOP0,SHRWHT0,SHRBLK0,SHRHSP0,TRVLPB0N,TRVLPB0D,,FAVINC0,AVHHIN0,MDGRENT0,TRCTPOP1,SHRWHT1,SHRBLK1,SHRHSP1,TRVLPB1A,FAVINC1A,AVHHIN1A,MDGRENT1A
6037533001,3089,0.795079,0.199417,0.707996,7149.16293,6608.418634,3074,0.64769,0.090761,0.879636,144,921,,13878.39557,13456.40625,192,3588,0.266722,0.057135,0.937291,149,1176,,26410.10518,25917.37586,482,3524,0.315267,0.041714,0.956867,166,982,,35996.34864,35677.04856,563,4527,0.4482,0.042633,0.950298,0.133,46514.762,44095.474,863
6037533002,3141,0.794651,0.1993,0.707736,7150.332353,6611.40709,3125,0.64768,0.09088,0.87968,146,936,,13867.53188,13460.43583,192,3648,0.266721,0.057018,0.937226,151,1195,,26445.60811,25921.1444,482,3582,0.315187,0.041597,0.957007,168,998,,36025.64689,35661.20387,563,2822,0.498583,0.013466,0.972714,0.167,51923.892,50246.678,900
6037534900,4970,0.9334,0.053119,0.788732,7544.143272,7214.302326,5695,0.622476,0.0295,0.914135,288,1659,,15295.85763,14396.70714,183,6560,0.301829,0.042073,0.925915,316,2122,,27120.33585,26117.49236,507,6544,0.346271,0.026436,0.971577,246,1802,,36044.52555,35566.14731,645,6569,0.521541,0.014766,0.98021,0.097,46882.452,49796.598,928
6037535002,2639,0.246684,0.751421,0.207654,6635.659468,6215.826467,3343,0.180676,0.436733,0.549207,155,880,,13963.39607,12988.18439,186,3903,0.216756,0.226749,0.766846,170,1176,,23416.42627,22753.48165,477,4100,0.282683,0.133415,0.863902,176,993,,27920.52837,34033.90716,563,3681,0.402336,0.050258,0.942679,0.095,55355.943,54760.635,982
