AREAKEY,TRCTPOP7,SHRWHT7,SHRBLK7,SHRHSP7,FAVINC7,AVHHIN7,TRCTPOP8,SHRWHT8,SHRBLK8,SHRHSP8,TRVLPB8N,TRVLPB8D,FAVINC8,AVHHIN8,MDGRENT8,TRCTPOP9,SHRWHT9,SHRBLK9,SHRHSP9,TRVLPB9N,TRVLPB9D,FAVINC9,AVHHIN9,MDGRENT9,TRCTPOP0,SHRWHT0,SHRBLK0,SHRHSP0,TRVLPB0N,TRVLPB0D,FAVINC0,AVHHIN0,MDGRENT0,TRCTPOP1,SHRWHT1,SHRBLK1,SHRHSP1,TRVLPB1A,FAVINC1A,AVHHIN1A,MDGRENT1A
06037462201,2010,0.941791,0.026866,0.116418,9186.964126,7303.635349,2082,0.638329,0.194524,0.251681,105,914,14329.517143,12254.134054,243,2520,0.517460,0.206349,0.305952,38,1038,29446.036364,23901.053719,538,2571,0.473746,0.203034,0.337612,42,1032,44850.556034,38406.523810,642,3788,0.519535,0.125132,0.396251,0.098,46566.912,46057.049,976
06037462202,2131,0.941811,0.027687,0.116377,9159.628692,7291.404032,2208,0.638587,0.195199,0.251812,113,970,14285.844086,12231.004073,243,2671,0.517409,0.207039,0.306252,41,1100,29362.669202,23884.985970,538,2726,0.473955,0.203228,0.337858,45,1095,44728.888438,38357.000787,642,2928,0.541667,0.075478,0.111339,0.095,107996.955,86707.653,1762
06037462301,2641,0.886028,0.047331,0.180613,9168.330275,7651.716792,2638,0.610690,0.160728,0.279378,96,1231,16360.932862,13848.450512,256,3688,0.463666,0.229664,0.331887,93,1934,33683.575531,31198.017956,597,3642,0.446733,0.191104,0.430807,161,1730,40465.446640,42269.869272,730,4655,0.482707,0.149946,0.519656,0.075,72359.178,67614.189,1216
06037462302,2913,0.885685,0.047717,0.180570,9141.994467,7648.746212,2909,0.610519,0.161224,0.279821,106,1359,16358.785256,13836.984532,256,4066,0.464092,0.229710,0.332022,103,2132,33644.152715,31162.330413,597,4015,0.446824,0.191532,0.431133,179,1908,40449.373955,42240.326206,730,2972,0.472409,0.113055,0.284993,0.069,67397.091,66634.493,1397
