AREAKEY,TRCTPOP7,SHRWHT7,SHRBLK7,SHRHSP7,FAVINC7,AVHHIN7,TRCTPOP8,SHRWHT8,SHRBLK8,SHRHSP8,TRVLPB8N,TRVLPB8D,FAVINC8,AVHHIN8,MDGRENT8,TRCTPOP9,SHRWHT9,SHRBLK9,SHRHSP9,TRVLPB9N,TRVLPB9D,FAVINC9,AVHHIN9,MDGRENT9,TRCTPOP0,SHRWHT0,SHRBLK0,SHRHSP0,TRVLPB0N,TRVLPB0D,FAVINC0,AVHHIN0,MDGRENT0,TRCTPOP1,SHRWHT1,SHRBLK1,SHRHSP1,TRVLPB1A,FAVINC1A,AVHHIN1A,MDGRENT1A
06037601700,5009,0.922739,0.003993,0.185666,9618.263035,8404.723526,5441,0.553207,0.199596,0.485573,145,2160,16551.572741,15344.371600,264,5399,0.263753,0.081682,0.812187,196,1918,25164.539486,25690.050000,584,5719,0.321035,0.058752,0.874104,173,1634,30932.047279,32317.155294,639,5646,0.357067,0.055260,0.910025,0.166,39166.816,36103.966,926
06037601802,2458,0.968674,0.010985,0.216436,9344.440310,7831.687500,3285,0.418874,0.185997,0.538204,110,1252,16462.239706,15386.128392,259,4264,0.277674,0.067542,0.851548,208,1656,29883.809868,30556.889957,572,4631,0.341395,0.045563,0.911034,206,1382,34358.372642,38425.157233,623,4658,0.440747,0.026406,0.948261,0.085,45147.682,45896.967,949
06037602103,4853,0.971564,0.002267,0.151659,10684.021456,9319.358639,4791,0.650595,0.143394,0.310582,91,2071,18753.371453,16654.381629,283,5778,0.327333,0.256708,0.481911,148,2609,34061.798467,32446.599462,629,7072,0.321691,0.272059,0.602517,214,2406,40942.801556,37137.277830,641,6992,0.322225,0.222397,0.683495,0.170,55909.009,52894.680,984
06037602104,3561,0.980623,0.002247,0.142657,10806.267010,9425.345748,3547,0.670144,0.131942,0.274598,61,1551,19120.624130,16798.405483,285,4444,0.328533,0.290054,0.430243,107,2075,35018.521526,32887.930965,637,5678,0.275625,0.339556,0.551250,214,1890,37771.697747,37483.930810,667,5416,0.316285,0.279357,0.634232,0.059,49825.041,50837.892,983
