AREAKEY,TRCTPOP7,SHRWHT7,SHRBLK7,SHRHSP7,FAVINC7,AVHHIN7,TRCTPOP8,SHRWHT8,SHRBLK8,SHRHSP8,TRVLPB8N,TRVLPB8D,FAVINC8,AVHHIN8,MDGRENT8,TRCTPOP9,SHRWHT9,SHRBLK9,SHRHSP9,TRVLPB9N,TRVLPB9D,FAVINC9,AVHHIN9,MDGRENT9,TRCTPOP0,SHRWHT0,SHRBLK0,SHRHSP0,TRVLPB0N,TRVLPB0D,FAVINC0,AVHHIN0,MDGRENT0,TRCTPOP1,SHRWHT1,SHRBLK1,SHRHSP1,TRVLPB1A,FAVINC1A,AVHHIN1A,MDGRENT1A
06037461901,2521,0.632289,0.311781,0.215787,7525.889513,6110.627243,2699,0.392738,0.220452,0.507225,209,1106,11648.171315,11190.765101,211,3075,0.324878,0.192195,0.678699,190,1330,25303.048951,24686.533406,520,3393,0.437961,0.143826,0.646036,127,1421,37062.163492,34795.449714,620,5118,0.429855,0.137163,0.678585,0.145,51634.596,52400.883,1152
06037461902,2400,0.632500,0.312083,0.215833,7498.209804,6103.261130,2569,0.393149,0.220708,0.507591,199,1053,11640.246862,11184.674723,211,2927,0.324906,0.192347,0.678852,181,1266,25269.748624,24651.318391,520,3230,0.437771,0.144272,0.646130,121,1353,37029.561667,34757.738197,620,1654,0.546554,0.169891,0.163241,0.188,69379.851,51548.117,1345
06037463602,2820,0.968794,0.014184,0.073050,12091.938879,7702.380330,3547,0.845221,0.064280,0.091909,141,2072,27380.990625,18081.738393,308,4385,0.750741,0.096237,0.115849,106,2784,51120.328068,41750.538129,715,4348,0.662374,0.092456,0.141904,94,2618,80783.148541,58870.036549,850,5051,0.582261,0.088101,0.161156,0.075,118994.479,85907.198,1609
