AREAKEY,TRCTPOP7,SHRWHT7,SHRBLK7,SHRHSP7,FAVINC7,AVHHIN7,TRCTPOP8,SHRWHT8,SHRBLK8,SHRHSP8,TRVLPB8N,TRVLPB8D,TRVLPB8,FAVINC8,AVHHIN8,MDGRENT8,TRCTPOP9,SHRWHT9,SHRBLK9,SHRHSP9,TRVLPB9N,TRVLPB9D,TRVLPB8,FAVINC9,AVHHIN9,MDGRENT9,TRCTPOP0,SHRWHT0,SHRBLK0,SHRHSP0,TRVLPB0N,TRVLPB0D,TRVLPB8,FAVINC0,AVHHIN0,MDGRENT0,TRCTPOP1,SHRWHT1,SHRBLK1,SHRHSP1,TRVLPB1A,FAVINC1A,AVHHIN1A,MDGRENT1A
6037575300,3466,0.51356,0.465378,0.103578,6884.242424,5969.894366,3179,0.314564,0.442592,0.228688,170,1097,0.154968095,12076.24697,11440.47679,228,4566,0.178493,0.300701,0.446781,330,1492,0.221179625,22513.38124,22976.12693,500,4919,0.229112,0.206953,0.571254,248,1222,0.20294599,31383.78378,31064.35726,525,4947,0.238326,0.178088,0.586214,0.194,30973.352,34497.861,858
6037575402,1755,0.897436,0.025641,0.120228,7517.649269,6612.447205,2404,0.404326,0.225874,0.462146,129,819,0.157509158,12039.35448,11923.69549,236,3516,0.203641,0.147895,0.682878,265,1194,0.221943049,22643.34933,25024.12376,492,3758,0.262906,0.136509,0.757584,200,854,0.234192037,20387.53181,22209.96819,569,4065,0.389176,0.139975,0.77048,0.164,37638.41,34294.112,839
6037575803,1235,0.961943,0.008907,0.079352,6976.726384,5443.665676,1766,0.640997,0.087769,0.385051,86,563,0.152753108,10608.31165,9688.268638,193,2402,0.357619,0.095754,0.613655,158,800,0.1975,22539.24009,21463.1273,466,2939,0.41851,0.146649,0.419871,202,782,0.25831202,25281.31417,22823.12614,479,2837,0.379274,0.176595,0.554811,0.289,36714.179,35143.474,698
6037576301,2949,0.718549,0.253306,0.108511,6759.072308,5209.346675,2962,0.516543,0.243079,0.238015,115,1072,0.107276119,11598.66225,10233.97325,200,4569,0.315605,0.238564,0.370103,263,1580,0.166455696,21751.36642,22033.47873,505,5604,0.320664,0.206103,0.559243,322,1589,0.202643172,33156.68039,30387.7833,522,4176,0.410201,0.219588,0.511734,0.192,52638.178,46767.16,962
6037576302,1741,0.718553,0.253877,0.109133,6734.293506,5204.340984,1749,0.516295,0.242996,0.238422,68,633,0.107424961,11548.19274,10225.26038,200,2697,0.315536,0.238784,0.370041,156,934,0.167023555,21707.04464,21997.13534,505,3308,0.320738,0.206469,0.55925,191,938,0.203624733,33115.58788,30379.6826,522,4101,0.332114,0.194831,0.593514,0.219,29169.268,27151.166,874
