AREAKEY,TRCTPOP7,SHRWHT7,SHRBLK7,SHRHSP7,FAVINC7,AVHHIN7,TRCTPOP8,SHRWHT8,SHRBLK8,SHRHSP8,TRVLPB8N,TRVLPB8D,FAVINC8,AVHHIN8,MDGRENT8,TRCTPOP9,SHRWHT9,SHRBLK9,SHRHSP9,TRVLPB9N,TRVLPB9D,FAVINC9,AVHHIN9,MDGRENT9,TRCTPOP0,SHRWHT0,SHRBLK0,SHRHSP0,TRVLPB0N,TRVLPB0D,FAVINC0,AVHHIN0,MDGRENT0,TRCTPOP1,SHRWHT1,SHRBLK1,SHRHSP1,TRVLPB1A,FAVINC1A,AVHHIN1A,MDGRENT1A
06037123601,3693,0.987544,0.002708,0.070133,14792.814815,13378.022342,4265,0.866823,0.032122,0.099179,110,2153,25703.771331,22380.789594,320,4544,0.808099,0.030370,0.210167,154,2236,51072.251502,42841.395439,699,5026,0.729009,0.059690,0.319339,86,2017,47552.346742,43897.602304,700,4995,0.725926,0.057658,0.333133,0.060,65918.417,63039.800,1126
06037124500,3008,0.996343,0.000000,0.073471,16023.137778,14506.028864,2674,0.949140,0.010097,0.057592,49,1371,28924.983718,26103.351555,364,2795,0.848658,0.061538,0.130948,64,1480,78533.873184,64986.113322,713,2974,0.761601,0.057835,0.235373,89,1408,83892.894320,72830.877193,791,2779,0.767182,0.047499,0.224541,0.052,128402.580,100022.651,1177
