AREAKEY,TRCTPOP7,SHRWHT7,SHRBLK7,SHRHSP7,FAVINC7,AVHHIN7,TRCTPOP8,SHRWHT8,SHRBLK8,SHRHSP8,TRVLPB8N,TRVLPB8D,FAVINC8,AVHHIN8,MDGRENT8,TRCTPOP9,SHRWHT9,SHRBLK9,SHRHSP9,TRVLPB9N,TRVLPB9D,FAVINC9,AVHHIN9,MDGRENT9,TRCTPOP0,SHRWHT0,SHRBLK0,SHRHSP0,TRVLPB0N,TRVLPB0D,FAVINC0,AVHHIN0,MDGRENT0,TRCTPOP1,SHRWHT1,SHRBLK1,SHRHSP1,TRVLPB1A,FAVINC1A,AVHHIN1A,MDGRENT1A
06037541606,1829,0.407326,0.565336,0.214325,8944.630332,8199.678899,2161,0.102267,0.708468,0.250810,56,701,15204.740821,14763.790295,229,2373,0.112094,0.447956,0.535609,61,687,23936.258621,23800.290553,540,2483,0.209827,0.256947,0.704793,120,760,32081.889764,33405.078809,603,2506,0.332801,0.172386,0.839585,0.053,51378.252,49260.902,968
06037542502,3074,0.104750,0.812622,0.061809,6628.291420,6418.780193,2963,0.050962,0.684441,0.201485,54,683,12821.831210,12168.835938,199,3955,0.069279,0.588622,0.315550,58,1068,26349.514423,28268.512629,462,4249,0.169452,0.446223,0.556366,163,1218,33604.250295,31283.840948,535,4284,0.235528,0.419468,0.571195,0.103,45724.130,39939.662,894
06037542602,4106,0.325621,0.648320,0.315879,8442.617297,7690.001771,4493,0.107501,0.486980,0.499221,105,1387,14267.546227,13812.723801,197,4997,0.129478,0.326196,0.663798,175,1546,25914.077088,25068.222723,499,4927,0.243759,0.243556,0.726608,157,1352,34598.321091,34120.256410,578,5496,0.340793,0.271470,0.717613,0.112,46464.516,45825.287,878
