AREAKEY,TRCTPOP7,SHRWHT7,SHRBLK7,SHRHSP7,FAVINC7,AVHHIN7,TRCTPOP8,SHRWHT8,SHRBLK8,SHRHSP8,TRVLPB8N,TRVLPB8D,FAVINC8,AVHHIN8,MDGRENT8,TRCTPOP9,SHRWHT9,SHRBLK9,SHRHSP9,TRVLPB9N,TRVLPB9D,FAVINC9,AVHHIN9,MDGRENT9,TRCTPOP0,SHRWHT0,SHRBLK0,SHRHSP0,TRVLPB0N,TRVLPB0D,FAVINC0,AVHHIN0,MDGRENT0,TRCTPOP1,SHRWHT1,SHRBLK1,SHRHSP1,TRVLPB1A,FAVINC1A,AVHHIN1A,MDGRENT1A
06037243100,3984,0.096637,0.901606,0.107681,5190.399002,4720.442842,3795,0.073781,0.884321,0.087747,75,440,8503.491972,8394.779843,140,4565,0.081490,0.637678,0.365389,80,689,16011.575983,15982.121377,258,4778,0.149435,0.468397,0.533278,147,808,22304.693878,23050.766456,307,5350,0.266355,0.336075,0.647103,0.137,30509.778,31490.822,675
06037540600,3479,0.083645,0.913481,0.088531,6444.113475,5794.989224,2925,0.031453,0.806838,0.183248,78,594,12038.120861,10537.913712,183,3170,0.093691,0.573502,0.409148,131,742,24568.530100,21365.892045,408,3692,0.138678,0.533044,0.488624,79,892,42918.844567,38006.626506,512,4271,0.224772,0.344884,0.645048,0.082,48432.639,43006.000,882
06037540700,4160,0.079327,0.914183,0.068750,7998.430233,6937.092391,3147,0.038132,0.745790,0.248173,69,798,14291.594955,12843.178528,216,3207,0.133770,0.626130,0.326162,48,703,27761.336770,26774.121678,568,3106,0.171925,0.424340,0.549903,67,774,31243.344710,30091.009682,641,3014,0.214665,0.385866,0.613139,0.091,50899.099,46352.665,1082
