AREAKEY,TRCTPOP7,SHRWHT7,SHRBLK7,SHRHSP7,FAVINC7,AVHHIN7,TRCTPOP8,SHRWHT8,SHRBLK8,SHRHSP8,TRVLPB8N,TRVLPB8D,FAVINC8,AVHHIN8,MDGRENT8,TRCTPOP9,SHRWHT9,SHRBLK9,SHRHSP9,TRVLPB9N,TRVLPB9D,FAVINC9,AVHHIN9,MDGRENT9,TRCTPOP0,SHRWHT0,SHRBLK0,SHRHSP0,TRVLPB0N,TRVLPB0D,FAVINC0,AVHHIN0,MDGRENT0,TRCTPOP1,SHRWHT1,SHRBLK1,SHRHSP1,TRVLPB1A,FAVINC1A,AVHHIN1A,MDGRENT1A
06037241202,5441,0.143356,0.841941,0.062121,8675.443678,7899.881977,5176,0.086360,0.810665,0.150309,179,1827,16135.407853,15433.280562,214,5387,0.075738,0.682384,0.300910,143,1828,29684.077824,28444.001916,558,5537,0.159111,0.543074,0.448618,235,1448,36415.816092,33776.654040,540,4943,0.248230,0.435161,0.560186,0.213,46352.482,43619.766,879
06037241300,2374,0.122578,0.869419,0.073715,9335.391823,8511.553501,2180,0.102752,0.727982,0.239908,36,830,15945.406250,15458.367263,213,2339,0.085934,0.619496,0.401454,47,858,30447.223790,30317.516080,456,2280,0.234649,0.468860,0.491228,98,593,41202.040777,37907.280675,524,2313,0.187203,0.471682,0.517077,0.073,49063.383,39427.639,917
06037600304,3117,0.206288,0.782162,0.095926,7223.092448,6754.421722,3290,0.118237,0.758359,0.235562,181,1091,13000.023839,12169.997235,217,3757,0.073995,0.635347,0.363322,152,1119,19613.969412,20485.224453,495,4028,0.170804,0.488332,0.491063,158,985,24233.673143,26684.045746,557,3424,0.212325,0.407418,0.580023,0.270,41899.846,38205.484,901
06037602801,3613,0.327982,0.574038,0.091614,10614.974388,9361.090510,3768,0.075106,0.694533,0.256635,149,1593,19959.799154,19448.371886,234,3964,0.079465,0.626640,0.336024,94,1524,36703.932561,35708.601597,529,4076,0.143523,0.529686,0.421982,154,1438,45204.385928,43883.153509,535,3819,0.264991,0.363708,0.622414,0.180,46666.000,39768.316,865
