AREAKEY,TRCTPOP7,SHRWHT7,SHRBLK7,SHRHSP7,FAVINC7,AVHHIN7,TRCTPOP8,SHRWHT8,SHRBLK8,SHRHSP8,TRVLPB8N,TRVLPB8D,FAVINC8,AVHHIN8,MDGRENT8,TRCTPOP9,SHRWHT9,SHRBLK9,SHRHSP9,TRVLPB9N,TRVLPB9D,FAVINC9,AVHHIN9,MDGRENT9,TRCTPOP0,SHRWHT0,SHRBLK0,SHRHSP0,TRVLPB0N,TRVLPB0D,FAVINC0,AVHHIN0,MDGRENT0,TRCTPOP1,SHRWHT1,SHRBLK1,SHRHSP1,TRVLPB1A,FAVINC1A,AVHHIN1A,MDGRENT1A
06037207301,1061,0.823751,0.131008,0.121583,5147.883721,4425.676576,2579,0.557193,0.216363,0.258627,512,1044,7560.607362,6443.463063,138,2194,0.424795,0.314950,0.234731,266,601,22382.686567,11334.503277,275,2384,0.356963,0.367450,0.211829,187,487,36613.323770,19810.505946,276,4521,0.471798,0.232250,0.208361,0.150,55510.791,29612.362,370
06037207502,621,0.943639,0.051530,0.072464,33268.070513,22280.548556,727,0.691884,0.107290,0.041265,55,499,41180.119718,27402.990177,304,2010,0.538308,0.144279,0.125373,59,1001,72815.716923,48081.595139,392,2729,0.328692,0.076585,0.123488,68,1178,83713.811275,51899.819545,859,2589,0.287370,0.062186,0.123986,0.055,42220.580,40354.268,481
06037207710,1933,0.951371,0.022245,0.256596,6100.105991,3578.269388,3025,0.392066,0.090579,0.539504,481,1203,11735.263959,8934.115132,138,2056,0.361381,0.025292,0.643482,240,719,17515.054441,19578.780807,318,1382,0.274240,0.081766,0.510130,101,273,16211.626943,14455.037225,317,2490,0.432530,0.130120,0.154618,0.103,98063.485,47597.178,638
06037209200,2584,0.889319,0.024768,0.274768,5690.100671,5398.933103,3688,0.592733,0.030369,0.782538,852,1605,12079.232523,9785.570272,146,2267,0.203794,0.000000,0.902073,363,1076,17617.473552,17952.458272,399,1472,0.234375,0.027853,0.921875,374,546,35535.060976,26656.804734,349,2785,0.406463,0.070018,0.484740,0.255,48839.529,42881.361,799
