AREAKEY,TRCTPOP7,SHRWHT7,SHRBLK7,SHRHSP7,FAVINC7,AVHHIN7,TRCTPOP8,SHRWHT8,SHRBLK8,SHRHSP8,TRVLPB8N,TRVLPB8D,TRVLPB8,FAVINC8,AVHHIN8,MDGRENT8,TRCTPOP9,SHRWHT9,SHRBLK9,SHRHSP9,TRVLPB9N,TRVLPB9D,TRVLPB9,FAVINC9,AVHHIN9,MDGRENT9,TRCTPOP0,SHRWHT0,SHRBLK0,SHRHSP0,TRVLPB0N,TRVLPB0D,TRVLPB0,FAVINC0,AVHHIN0,MDGRENT0,TRCTPOP1,SHRWHT1,SHRBLK1,SHRHSP1,TRVLPB1A,FAVINC1A,AVHHIN1A,MDGRENT1A
6037242000,2917,0.029482,0.957491,0.045938,7150.544323,6148.640997,2691,0.025641,0.928279,0.049424,47,548,0.085766423,12371.36943,10763.17116,208,2981,0.056357,0.752432,0.245555,94,616,0.152597403,18389.92608,17892.74973,451,3129,0.138063,0.460531,0.539789,93,732,0.12704918,34289.31553,30433.16708,544,3938,0.240223,0.34967,0.652108,0.08,45612.012,40119.712,875
6037242200,4232,0.090028,0.905246,0.101607,5928.63485,5193.913779,3914,0.032192,0.795095,0.183955,89,851,0.104582844,12111.66482,11223.77177,185,4968,0.097021,0.522343,0.50463,74,1049,0.070543375,17642.50776,17324.31199,502,5550,0.196577,0.314054,0.676396,108,1239,0.08716707,35141.50048,34949.68652,521,6554,0.313549,0.276015,0.719255,0.076,48634.984,45157.364,799
6037242300,2701,0.066642,0.927434,0.061088,5958.098592,5218.914081,2311,0.047166,0.874946,0.110775,101,341,0.296187683,7121.407129,6312.896919,183,2990,0.082609,0.534448,0.467559,68,606,0.112211221,18291.16177,18313.58226,500,3784,0.146142,0.383457,0.586945,88,888,0.099099099,30260.91031,29594.19355,578,4586,0.310292,0.284562,0.71413,0.09,39520.05,43452.222,865
6037242700,3497,0.088647,0.910495,0.08207,6535.510996,5984.974874,3168,0.046402,0.820076,0.182765,139,736,0.188858696,13002.71255,11473.60441,210,3809,0.076135,0.594382,0.452087,32,816,0.039215686,22471.47119,20664.06334,484,4739,0.194978,0.324119,0.664486,149,1014,0.146942801,32850.05945,31197.43102,633,5273,0.249004,0.277451,0.723307,0.182,37807.979,36620.118,815

