AREAKEY,TRCTPOP7,SHRWHT7,SHRBLK7,SHRHSP7,FAVINC7,AVHHIN7,TRCTPOP8,SHRWHT8,SHRBLK8,SHRHSP8,TRVLPB8N,TRVLPB8D,FAVINC8,AVHHIN8,MDGRENT8,TRCTPOP9,SHRWHT9,SHRBLK9,SHRHSP9,TRVLPB9N,TRVLPB9D,FAVINC9,AVHHIN9,MDGRENT9,TRCTPOP0,SHRWHT0,SHRBLK0,SHRHSP0,TRVLPB0N,TRVLPB0D,FAVINC0,AVHHIN0,MDGRENT0,TRCTPOP1,SHRWHT1,SHRBLK1,SHRHSP1,TRVLPB1A,FAVINC1A,AVHHIN1A,MDGRENT1A
06037226001,953,0.571878,0.308499,0.424974,6623.089744,5636.640394,1330,0.257143,0.154135,0.728571,154,545,14335.204188,11579.498382,141,1195,0.220084,0.145607,0.816736,168,516,22914.187166,22710.959044,379,1216,0.263980,0.138158,0.722039,93,359,32203.516667,24682.893899,345,2068,0.439555,0.069149,0.891199,0.090,26760.753,28465.613,982
06037226410,2694,0.339272,0.584633,0.382331,5761.442777,4704.120225,3033,0.286515,0.211342,0.748764,224,997,13089.496644,11962.193548,169,3745,0.187717,0.122296,0.847263,282,1258,24567.907895,24159.980070,435,3990,0.395238,0.024060,0.948120,341,1042,44335.994194,42757.142857,509,3491,0.356058,0.034947,0.953022,0.358,34045.597,33518.660,757
06037226420,3395,0.339323,0.584683,0.382327,5758.260417,4706.140054,3821,0.286836,0.211201,0.748757,283,1257,13072.340426,11957.880906,169,4719,0.187540,0.122060,0.847213,356,1585,24565.127610,24179.279330,435,5155,0.280698,0.089816,0.860524,484,1733,66161.695279,69079.681979,562,4906,0.323889,0.086832,0.904810,0.194,35673.444,35539.154,912
