AREAKEY,TRCTPOP7,SHRWHT7,SHRBLK7,SHRHSP7,FAVINC7,AVHHIN7,TRCTPOP8,SHRWHT8,SHRBLK8,SHRHSP8,TRVLPB8N,TRVLPB8D,FAVINC8,AVHHIN8,MDGRENT8,TRCTPOP9,SHRWHT9,SHRBLK9,SHRHSP9,TRVLPB9N,TRVLPB9D,FAVINC9,AVHHIN9,MDGRENT9,TRCTPOP0,SHRWHT0,SHRBLK0,SHRHSP0,TRVLPB0N,TRVLPB0D,FAVINC0,AVHHIN0,MDGRENT0,TRCTPOP1,SHRWHT1,SHRBLK1,SHRHSP1,TRVLPB1A,FAVINC1A,AVHHIN1A,MDGRENT1A
06037207301,1061,0.823751,0.131008,0.121583,5147.883721,4425.676576,2579,0.557193,0.216363,0.258627,512,1044,7560.607362,6443.463063,138,2194,0.424795,0.314950,0.234731,266,601,22382.686567,11334.503277,275,2384,0.356963,0.367450,0.211829,187,487,36613.323770,19810.505946,276,4521,0.471798,0.232250,0.208361,0.150,55510.791,29612.362,370
06037207302,633,0.824645,0.132701,0.121643,5070.807692,4424.762475,1537,0.556929,0.216656,0.258946,306,623,7489.806122,6434.817724,138,1307,0.425402,0.315226,0.235654,159,358,22329.512500,11317.252747,275,1420,0.357042,0.368310,0.211972,112,291,36444.171233,19807.862069,276,3791,0.575838,0.215247,0.183593,0.137,140719.588,55903.975,1273
06037207502,621,0.943639,0.051530,0.072464,33268.070513,22280.548556,727,0.691884,0.107290,0.041265,55,499,41180.119718,27402.990177,304,2010,0.538308,0.144279,0.125373,59,1001,72815.716923,48081.595139,392,2729,0.328692,0.076585,0.123488,68,1178,83713.811275,51899.819545,859,2589,0.287370,0.062186,0.123986,0.055,42220.580,40354.268,481
