AREAKEY,TRCTPOP7,SHRWHT7,SHRBLK7,SHRHSP7,FAVINC7,AVHHIN7,TRCTPOP8,SHRWHT8,SHRBLK8,SHRHSP8,TRVLPB8N,TRVLPB8D,FAVINC8,AVHHIN8,MDGRENT8,TRCTPOP9,SHRWHT9,SHRBLK9,SHRHSP9,TRVLPB9N,TRVLPB9D,FAVINC9,AVHHIN9,MDGRENT9,TRCTPOP0,SHRWHT0,SHRBLK0,SHRHSP0,TRVLPB0N,TRVLPB0D,FAVINC0,AVHHIN0,MDGRENT0,TRCTPOP1,SHRWHT1,SHRBLK1,SHRHSP1,TRVLPB1A,FAVINC1A,AVHHIN1A,MDGRENT1A
06037127605,1482,0.982456,0.001350,0.063428,11568.310513,10606.970962,1541,0.853991,0.018819,0.195328,60,821,21459.937838,18668.121662,305,2079,0.616643,0.062049,0.438191,83,1059,36906.131915,34494.210526,636,2678,0.531740,0.067588,0.637416,103,1029,38910.661642,41717.469952,682,3549,0.546633,0.074669,0.726684,0.092,56867.211,50687.705,1003
06037127606,2241,0.980812,0.001785,0.065149,11633.064516,10727.463504,2316,0.854059,0.017271,0.198187,96,1226,21446.148479,18817.080080,304,3101,0.605611,0.062560,0.424379,122,1567,37330.777151,34687.933333,640,4073,0.525902,0.069236,0.651363,167,1557,37270.910299,40319.186848,683,3164,0.606827,0.066688,0.608407,0.045,53543.659,56032.108,998
06037980024,5932,0.988200,0.004383,0.089346,14384.631188,13168.529382,5167,0.938456,0.008903,0.075092,87,2768,28709.199863,25757.035939,433,5151,0.871675,0.023685,0.119588,105,2817,57138.869503,49129.538392,802,5253,0.799733,0.044356,0.162764,41,2763,71866.409426,63820.977893,929,186,0.774194,0.043011,0.123656,0.000,0.000,119823.077,0
