AREAKEY,TRCTPOP7,SHRWHT7,SHRBLK7,SHRHSP7,FAVINC7,AVHHIN7,TRCTPOP8,SHRWHT8,SHRBLK8,SHRHSP8,TRVLPB8N,TRVLPB8D,FAVINC8,AVHHIN8,MDGRENT8,TRCTPOP9,SHRWHT9,SHRBLK9,SHRHSP9,TRVLPB9N,TRVLPB9D,FAVINC9,AVHHIN9,MDGRENT9,TRCTPOP0,SHRWHT0,SHRBLK0,SHRHSP0,TRVLPB0N,TRVLPB0D,FAVINC0,AVHHIN0,MDGRENT0,TRCTPOP1,SHRWHT1,SHRBLK1,SHRHSP1,TRVLPB1A,FAVINC1A,AVHHIN1A,MDGRENT1A
06037530301,1830,0.955191,0.000000,0.732787,9666.021413,8684.296233,1924,0.535343,0.001559,0.885135,84,691,17662.029851,15712.800000,219,2145,0.351981,0.000000,0.930536,85,832,30196.766316,29232.422111,513,2553,0.512338,0.000000,0.996083,103,767,36945.108696,34989.172932,634,2168,0.588561,0.004613,0.969557,0.167,65159.179,56631.796,902
06037530302,5176,0.954985,0.000000,0.732612,9672.627273,8688.686251,5443,0.535183,0.001837,0.885174,236,1956,17656.159005,15714.939217,219,6067,0.351739,0.000000,0.930279,241,2352,30208.681310,29260.232365,513,6304,0.497462,0.002379,0.938928,171,1949,41654.890922,39893.760933,617,6556,0.557810,0.007627,0.963087,0.103,45377.408,46054.530,898
06037530400,5431,0.775916,0.012152,0.718836,8653.427065,8260.760000,4325,0.249480,0.002543,0.711676,124,1364,18721.872510,16924.806763,150,4032,0.304315,0.014633,0.737351,97,1316,32923.073145,28675.893855,289,3853,0.470283,0.035557,0.766675,96,1114,37864.231189,33618.159609,374,3683,0.509096,0.017377,0.766495,0.113,50991.166,43955.666,567
