AREAKEY,TRCTPOP7,SHRWHT7,SHRBLK7,SHRHSP7,FAVINC7,AVHHIN7,TRCTPOP8,SHRWHT8,SHRBLK8,SHRHSP8,TRVLPB8N,TRVLPB8D,FAVINC8,AVHHIN8,MDGRENT8,TRCTPOP9,SHRWHT9,SHRBLK9,SHRHSP9,TRVLPB9N,TRVLPB9D,FAVINC9,AVHHIN9,MDGRENT9,TRCTPOP0,SHRWHT0,SHRBLK0,SHRHSP0,TRVLPB0N,TRVLPB0D,FAVINC0,AVHHIN0,MDGRENT0,TRCTPOP1,SHRWHT1,SHRBLK1,SHRHSP1,TRVLPB1A,FAVINC1A,AVHHIN1A,MDGRENT1A
06037573002,2270,0.958150,0.021145,0.061233,9073.341829,7541.123549,2395,0.627975,0.141962,0.216701,86,1025,15944.442373,13483.645868,239,3509,0.304645,0.278997,0.376746,191,1465,27542.552534,28277.431049,531,4227,0.286255,0.226875,0.654838,120,1015,19813.525027,21127.797834,549,3990,0.338847,0.191729,0.713784,0.185,28116.005,31313.809,943
06037573004,1819,0.957669,0.021440,0.061023,9058.196262,7531.114788,1918,0.628259,0.142336,0.217414,69,821,15892.248945,13479.404211,239,2810,0.304982,0.279359,0.377224,154,1173,27534.682099,28269.277320,531,3401,0.354308,0.226698,0.552485,123,982,33503.507463,35957.457677,541,5153,0.335921,0.245100,0.618087,0.115,39067.851,46227.596,957
06037573202,3976,0.441398,0.532948,0.107646,6983.036649,6201.232877,4518,0.278663,0.607348,0.190350,160,1235,12404.185476,11861.020906,235,6327,0.162004,0.339339,0.441916,271,1718,22607.824675,22382.774086,534,5697,0.167632,0.235212,0.536247,211,1641,32075.932203,30491.701534,584,6230,0.232745,0.190369,0.580417,0.035,45904.155,44004.041,885
06037575300,3466,0.513560,0.465378,0.103578,6884.242424,5969.894366,3179,0.314564,0.442592,0.228688,170,1097,12076.246973,11440.476793,228,4566,0.178493,0.300701,0.446781,330,1492,22513.381244,22976.126932,500,4919,0.229112,0.206953,0.571254,248,1222,31383.783784,31064.357262,525,4947,0.238326,0.178088,0.586214,0.194,30973.352,34497.861,858
06037575402,1755,0.897436,0.025641,0.120228,7517.649269,6612.447205,2404,0.404326,0.225874,0.462146,129,819,12039.354478,11923.695489,236,3516,0.203641,0.147895,0.682878,265,1194,22643.349325,25024.123762,492,3758,0.262906,0.136509,0.757584,200,854,20387.531807,22209.968187,569,4065,0.389176,0.139975,0.770480,0.164,37638.410,34294.112,839
