AREAKEY,TRCTPOP7,SHRWHT7,SHRBLK7,SHRHSP7,FAVINC7,AVHHIN7,TRCTPOP8,SHRWHT8,SHRBLK8,SHRHSP8,TRVLPB8N,TRVLPB8D,FAVINC8,AVHHIN8,MDGRENT8,TRCTPOP9,SHRWHT9,SHRBLK9,SHRHSP9,TRVLPB9N,TRVLPB9D,FAVINC9,AVHHIN9,MDGRENT9,TRCTPOP0,SHRWHT0,SHRBLK0,SHRHSP0,TRVLPB0N,TRVLPB0D,FAVINC0,AVHHIN0,MDGRENT0,TRCTPOP1,SHRWHT1,SHRBLK1,SHRHSP1,TRVLPB1A,FAVINC1A,AVHHIN1A,MDGRENT1A
06037192610,2810,0.899288,0.018149,0.277224,10133.473054,7514.447632,3323,0.519410,0.052061,0.523322,387,1537,14473.975309,12977.989751,237,5060,0.563043,0.033597,0.677866,755,2229,25585.034547,24274.272606,556,4742,0.369675,0.037959,0.781316,504,1691,29577.626459,29315.553977,573,4389,0.417863,0.037594,0.741171,0.245,48558.480,44998.138,1025
06037192620,2061,0.899563,0.018438,0.277535,10134.163265,7518.828935,2438,0.519688,0.052092,0.522970,284,1127,14468.078505,12978.953094,237,3712,0.563039,0.033675,0.678071,554,1636,25606.785987,24281.067090,556,4253,0.302375,0.013402,0.730308,403,1204,25120.893971,25282.812500,580,3868,0.360910,0.036711,0.686401,0.339,39889.086,45816.617,826
06037192700,2227,0.412663,0.058824,0.220925,10271.595331,8276.382743,2275,0.382857,0.052308,0.453187,222,906,17004.710425,15386.360799,192,3080,0.390584,0.011364,0.600000,228,1277,27383.606103,26148.131808,574,3946,0.337050,0.047897,0.612519,273,1388,34612.988651,32571.467639,609,3513,0.343866,0.060063,0.593510,0.219,49204.511,42268.070,906
06037211121,1054,0.896584,0.021822,0.247628,10342.102804,8977.965338,1308,0.506881,0.049694,0.379205,135,630,16099.635246,14877.010720,274,1871,0.312133,0.076430,0.388028,187,882,28287.032258,28003.362914,629,2133,0.322082,0.080638,0.474449,181,911,39406.278689,36931.821557,716,2351,0.275202,0.064653,0.451723,0.089,73086.957,62353.595,1168
06037211122,1803,0.895729,0.023295,0.247920,10332.980874,8959.440283,2237,0.507376,0.050514,0.379526,232,1077,16097.333333,14848.109123,274,3198,0.312070,0.076610,0.388680,322,1509,28231.075362,27962.674149,629,3646,0.322545,0.080911,0.474767,310,1558,39333.268126,36927.280308,716,3075,0.318374,0.080650,0.469919,0.264,46177.516,47731.118,1099
06037211201,1248,0.898237,0.011218,0.401442,9562.209125,7358.946927,1744,0.555619,0.017775,0.518349,231,876,16203.989796,13179.410063,214,2499,0.421769,0.029212,0.701481,441,1191,25875.657588,25817.218204,511,2761,0.350235,0.030424,0.763491,351,988,25744.681356,25614.868182,539,2645,0.410208,0.037807,0.739509,0.369,43214.154,62727.500,1046
06037211202,1605,0.898442,0.011838,0.402492,9508.938235,7346.739696,2244,0.555258,0.017825,0.518271,297,1127,16202.214286,13154.066406,214,3214,0.421593,0.029247,0.701307,569,1532,25828.155589,25792.946705,511,3551,0.350605,0.030696,0.763447,453,1271,25727.322793,25576.536628,539,2645,0.378072,0.047259,0.695652,0.441,31382.582,33983.080,778
06037211320,2076,0.944123,0.000963,0.202312,9577.743215,6934.698630,2753,0.491827,0.043226,0.463858,410,1415,14183.862460,12690.942337,222,3831,0.395719,0.037849,0.642391,614,1790,21303.856465,22335.873003,492,3654,0.292009,0.051998,0.663109,463,1137,24784.409257,30366.855295,516,3184,0.361181,0.054020,0.606156,0.411,40021.965,34968.009,739
