AREAKEY,TRCTPOP7,SHRWHT7,SHRBLK7,SHRHSP7,FAVINC7,AVHHIN7,TRCTPOP8,SHRWHT8,SHRBLK8,SHRHSP8,TRVLPB8N,TRVLPB8D,FAVINC8,AVHHIN8,MDGRENT8,TRCTPOP9,SHRWHT9,SHRBLK9,SHRHSP9,TRVLPB9N,TRVLPB9D,FAVINC9,AVHHIN9,MDGRENT9,TRCTPOP0,SHRWHT0,SHRBLK0,SHRHSP0,TRVLPB0N,TRVLPB0D,FAVINC0,AVHHIN0,MDGRENT0,TRCTPOP1,SHRWHT1,SHRBLK1,SHRHSP1,TRVLPB1A,FAVINC1A,AVHHIN1A,MDGRENT1A
06037183520,3015,0.966501,0.002985,0.457711,9323.223419,8094.331068,3653,0.419655,0.011771,0.635916,192,1446,18410.618806,16716.857939,227,5379,0.545640,0.017289,0.776538,344,2009,29999.561860,30543.105342,536,4138,0.437168,0.025133,0.857177,360,1263,33091.534989,35273.106061,560,3881,0.577944,0.023963,0.853904,0.266,53788.786,56951.651,915
06037183610,1997,0.978968,0.003505,0.372559,9776.454167,8204.302234,2349,0.500213,0.005534,0.591741,151,886,17598.314607,14932.730000,234,2956,0.441813,0.017253,0.692152,165,1221,32414.500000,31362.095874,524,3773,0.341638,0.051153,0.771800,235,1363,34873.815789,34443.456033,595,3275,0.497099,0.031145,0.806412,0.166,45722.814,44721.672,1022
06037183620,2295,0.978649,0.003486,0.372113,9784.214156,8197.344000,2699,0.500185,0.005558,0.591701,173,1018,17583.241042,14950.011983,234,3396,0.441696,0.017079,0.691991,189,1402,32442.380608,31349.977825,524,3272,0.416565,0.024756,0.786369,126,1116,46709.937107,46314.681725,595,3264,0.482843,0.023284,0.738051,0.056,49276.531,52306.058,948
06037183701,1318,0.955994,0.000759,0.350531,9332.842262,8417.779070,1428,0.645658,0.019608,0.509104,42,663,18744.781065,16998.058925,238,2085,0.497362,0.025899,0.632134,109,807,31811.050526,31582.390490,556,2442,0.496724,0.064701,0.720721,128,988,45557.278810,44063.519159,660,3922,0.510199,0.045130,0.831209,0.089,79003.248,68454.241,990
06037183810,1733,0.968840,0.000000,0.339296,8814.101877,7201.107100,2321,0.638518,0.022404,0.640672,177,973,14268.980732,13243.818792,214,3588,0.470736,0.021182,0.780379,383,1573,24724.259452,25973.922014,497,4615,0.404984,0.026219,0.871723,346,1324,30025.417238,30698.668785,545,4369,0.505837,0.025864,0.875486,0.228,42167.969,42374.160,909
06037183820,2055,0.969343,0.000000,0.339659,8777.342342,7194.198783,2753,0.638939,0.022884,0.640756,212,1155,14250.777597,13240.482075,214,4255,0.471210,0.021622,0.780494,453,1865,24729.408141,25926.285121,497,3751,0.403359,0.053319,0.882965,159,1118,30279.000000,30980.608696,551,3464,0.465358,0.025115,0.881351,0.207,48583.871,48784.016,918
