AREAKEY,TRCTPOP7,SHRWHT7,SHRBLK7,SHRHSP7,FAVINC7,AVHHIN7,TRCTPOP8,SHRWHT8,SHRBLK8,SHRHSP8,TRVLPB8N,TRVLPB8D,FAVINC8,AVHHIN8,MDGRENT8,TRCTPOP9,SHRWHT9,SHRBLK9,SHRHSP9,TRVLPB9N,TRVLPB9D,FAVINC9,AVHHIN9,MDGRENT9,TRCTPOP0,SHRWHT0,SHRBLK0,SHRHSP0,TRVLPB0N,TRVLPB0D,FAVINC0,AVHHIN0,MDGRENT0,TRCTPOP1,SHRWHT1,SHRBLK1,SHRHSP1,TRVLPB1A,FAVINC1A,AVHHIN1A,MDGRENT1A
06037228100,2867,0.192187,0.804325,0.117893,6030.650407,5318.021978,3432,0.191142,0.446970,0.555653,122,749,10068.658009,9372.096257,172,4911,0.167176,0.209937,0.818367,328,1461,22066.217391,23375.283000,474,4929,0.321160,0.101035,0.878880,202,1247,29403.977273,30370.642202,581,4916,0.386086,0.085639,0.912734,0.244,30887.808,33893.017,839
06037228720,2357,0.019516,0.975392,0.016546,5616.867424,4556.875283,2596,0.090139,0.785054,0.219954,143,491,12338.196691,9913.382930,189,3926,0.122007,0.339022,0.690525,284,1156,19259.846365,19477.800434,510,4157,0.320423,0.154679,0.852297,303,1110,33403.675539,32512.627986,538,4492,0.392030,0.116207,0.877115,0.281,38854.988,44010.951,1061
06037228800,3789,0.057799,0.941409,0.076537,5262.284197,4459.408127,3641,0.091733,0.772590,0.221642,119,765,10594.311414,9430.964379,155,4914,0.173586,0.360806,0.636142,308,1281,19460.190692,20004.605833,419,5354,0.322936,0.153717,0.807807,283,1200,39934.472362,38330.446194,515,5575,0.362152,0.106547,0.880717,0.172,35802.285,43570.401,793
