AREAKEY,TRCTPOP7,SHRWHT7,SHRBLK7,SHRHSP7,FAVINC7,AVHHIN7,TRCTPOP8,SHRWHT8,SHRBLK8,SHRHSP8,TRVLPB8N,TRVLPB8D,FAVINC8,AVHHIN8,MDGRENT8,TRCTPOP9,SHRWHT9,SHRBLK9,SHRHSP9,TRVLPB9N,TRVLPB9D,FAVINC9,AVHHIN9,MDGRENT9,TRCTPOP0,SHRWHT0,SHRBLK0,SHRHSP0,TRVLPB0N,TRVLPB0D,FAVINC0,AVHHIN0,MDGRENT0,TRCTPOP1,SHRWHT1,SHRBLK1,SHRHSP1,TRVLPB1A,FAVINC1A,AVHHIN1A,MDGRENT1A
06037124204,1863,0.996243,0.003221,0.120773,9443.062030,8352.079245,1774,0.846674,0.014092,0.311161,61,912,18360.308252,15348.872636,275,2618,0.521772,0.042781,0.588235,85,1243,32042.581688,32501.913386,580,3131,0.514532,0.059725,0.708080,124,1080,35475.506531,34910.426752,620,3071,0.564963,0.057636,0.639205,0.121,43539.074,49996.548,968
06037125320,1762,0.974461,0.002838,0.186152,9934.686937,8166.094928,2213,0.765929,0.014912,0.355626,83,1073,17321.782341,15560.818770,262,3158,0.496517,0.050665,0.568081,131,1386,26983.925466,26003.829636,555,4425,0.452429,0.139209,0.540339,119,1673,38442.758621,34338.479001,649,4843,0.582697,0.127813,0.363618,0.068,68023.250,50268.718,1099
06037125401,1526,0.971822,0.004587,0.131062,10100.873995,7803.185515,1474,0.875170,0.014247,0.147897,65,782,19236.081699,15644.922170,259,2407,0.724553,0.120897,0.192356,77,1575,39480.492788,35923.652105,681,2777,0.608931,0.178610,0.236226,88,1471,53670.009074,45148.171159,734,4024,0.594185,0.171968,0.273608,0.071,50056.747,55178.791,1148
