AREAKEY,TRCTPOP7,SHRWHT7,SHRBLK7,SHRHSP7,FAVINC7,AVHHIN7,TRCTPOP8,SHRWHT8,SHRBLK8,SHRHSP8,TRVLPB8N,TRVLPB8D,FAVINC8,AVHHIN8,MDGRENT8,TRCTPOP9,SHRWHT9,SHRBLK9,SHRHSP9,TRVLPB9N,TRVLPB9D,FAVINC9,AVHHIN9,MDGRENT9,TRCTPOP0,SHRWHT0,SHRBLK0,SHRHSP0,TRVLPB0N,TRVLPB0D,FAVINC0,AVHHIN0,MDGRENT0,TRCTPOP1,SHRWHT1,SHRBLK1,SHRHSP1,TRVLPB1A,FAVINC1A,AVHHIN1A,MDGRENT1A
06037203900,2732,0.966691,0.000000,0.904832,8458.312102,8047.067729,2528,0.560522,0.000000,0.915744,183,842,13941.522095,13450.942731,216,3074,0.655823,0.000000,0.954782,229,1070,26897.881494,25601.759615,459,3076,0.503576,0.000650,0.964889,116,873,36306.050420,36533.569405,579,2944,0.545516,0.008832,0.973166,0.085,48133.117,49482.418,978
06037531101,4195,0.972825,0.000715,0.945411,7936.437700,7162.273961,4698,0.460834,0.000000,0.973819,317,1561,15097.090271,14404.006595,193,5002,0.507997,0.005198,0.981407,368,1732,27371.560926,25984.033585,459,5229,0.409256,0.004781,0.981641,280,1508,34223.725490,40634.212696,562,5091,0.556865,0.006875,0.975643,0.089,47425.205,44542.068,912
06037531201,4051,0.980992,0.004937,0.975808,7755.557203,7399.519266,4656,0.525988,0.000000,0.965851,297,1566,14626.960326,14181.094468,199,5430,0.628545,0.000000,0.979558,333,1873,27335.037365,26987.527098,487,5558,0.360561,0.005937,0.987585,209,1563,37253.875598,37934.957983,616,5335,0.462418,0.008435,0.978444,0.215,45762.121,46923.292,856
