AREAKEY,TRCTPOP7,SHRWHT7,SHRBLK7,SHRHSP7,FAVINC7,AVHHIN7,TRCTPOP8,SHRWHT8,SHRBLK8,SHRHSP8,TRVLPB8N,TRVLPB8D,FAVINC8,AVHHIN8,MDGRENT8,TRCTPOP9,SHRWHT9,SHRBLK9,SHRHSP9,TRVLPB9N,TRVLPB9D,FAVINC9,AVHHIN9,MDGRENT9,TRCTPOP0,SHRWHT0,SHRBLK0,SHRHSP0,TRVLPB0N,TRVLPB0D,FAVINC0,AVHHIN0,MDGRENT0,TRCTPOP1,SHRWHT1,SHRBLK1,SHRHSP1,TRVLPB1A,FAVINC1A,AVHHIN1A,MDGRENT1A
06037190301,4066,0.935809,0.020659,0.096655,10134.501202,7747.267577,5213,0.789373,0.070209,0.119317,432,2325,16408.951220,12732.410247,253,6294,0.746425,0.068160,0.272005,539,2514,22415.448097,21866.948552,546,5679,0.710160,0.075541,0.257264,538,2270,38208.170093,36158.943411,611,4758,0.745061,0.065574,0.244430,0.270,47530.606,43969.547,939
06037190401,1860,0.952688,0.003763,0.102688,9043.446556,7624.774084,2572,0.849145,0.062986,0.144246,322,1310,15179.837736,12843.058742,250,3038,0.771231,0.059908,0.258723,264,1221,23945.172800,26741.868980,541,3329,0.704416,0.058576,0.231601,250,1278,37667.221289,33159.599613,584,3135,0.705263,0.054864,0.215949,0.108,48000.341,44424.101,923
06037190402,1751,0.953741,0.004569,0.102798,9028.108312,7619.628959,2422,0.849298,0.063584,0.144922,304,1234,15147.612000,12826.073314,250,2861,0.771409,0.060468,0.258651,249,1150,23919.592530,26726.734586,541,3134,0.704531,0.059030,0.231972,237,1205,37619.916790,33116.525992,584,2487,0.690390,0.055489,0.178528,0.111,27645.480,31384.479,930
06037190510,2102,0.924358,0.016175,0.111798,9511.182952,7165.096455,3027,0.667988,0.060456,0.341592,401,1308,13877.519936,11694.044741,236,3863,0.654155,0.060057,0.500129,494,1460,19736.625774,19788.086039,518,4183,0.443701,0.080803,0.497012,280,1223,25543.700855,24899.006959,573,4227,0.504850,0.083511,0.393423,0.294,39867.808,39624.242,994
06037190520,2690,0.924535,0.016357,0.112268,9488.186386,7161.436574,3874,0.668043,0.060661,0.341766,513,1674,13883.334165,11688.773758,236,4944,0.654126,0.060073,0.500202,633,1870,19711.269826,19782.060875,518,4326,0.629681,0.048313,0.397827,379,1317,23629.643527,23758.790524,551,3728,0.607833,0.034603,0.377682,0.340,31652.324,33096.655,848
06037191110,2232,0.918907,0.015681,0.194444,8749.707780,7417.087963,2862,0.696716,0.034591,0.299790,278,1082,13430.690280,11044.803957,232,3699,0.679913,0.031901,0.463368,398,1321,21180.084768,21028.964820,516,3818,0.614720,0.036406,0.443688,401,1131,32850.000000,27640.676568,568,3338,0.662672,0.039844,0.365788,0.286,33464.654,35639.413,897
