AREAKEY,TRCTPOP7,SHRWHT7,SHRBLK7,SHRHSP7,FAVINC7,AVHHIN7,TRCTPOP8,SHRWHT8,SHRBLK8,SHRHSP8,TRVLPB8N,TRVLPB8D,FAVINC8,AVHHIN8,MDGRENT8,TRCTPOP9,SHRWHT9,SHRBLK9,SHRHSP9,TRVLPB9N,TRVLPB9D,FAVINC9,AVHHIN9,MDGRENT9,TRCTPOP0,SHRWHT0,SHRBLK0,SHRHSP0,TRVLPB0N,TRVLPB0D,FAVINC0,AVHHIN0,MDGRENT0,TRCTPOP1,SHRWHT1,SHRBLK1,SHRHSP1,TRVLPB1A,FAVINC1A,AVHHIN1A,MDGRENT1A
06037124902,2025,0.995556,0.000000,0.071605,11711.120275,9326.927611,2473,0.927214,0.014962,0.072382,99,1257,22040.195029,17514.857813,323,2795,0.839714,0.049016,0.132379,85,1526,41144.786106,35820.527718,648,3155,0.765135,0.074485,0.214580,110,1545,54140.848998,42455.531030,725,2766,0.704266,0.075199,0.245481,0.075,68601.915,52810.482,1101
06037124903,1863,0.995706,0.000000,0.071927,11695.294776,9309.832772,2275,0.927473,0.015385,0.072527,92,1157,21995.026971,17488.687023,323,2571,0.839751,0.049397,0.133022,79,1405,41070.125000,35778.168100,648,2903,0.765415,0.075095,0.214606,102,1421,54131.472362,42441.310848,725,3262,0.753525,0.085837,0.204782,0.046,71023.933,59619.659,1206
06037125100,4513,0.982717,0.003102,0.065367,12591.041979,10703.935860,4213,0.955139,0.009020,0.065986,105,2340,24905.066351,19863.384279,295,5307,0.841718,0.047296,0.135293,168,3082,53311.645051,43273.053740,644,5581,0.725497,0.089052,0.207490,62,3091,85497.110333,61749.222615,698,5431,0.743878,0.089855,0.194439,0.031,110043.274,82338.743,1177
