AREAKEY,TRCTPOP7,SHRWHT7,SHRBLK7,SHRHSP7,FAVINC7,AVHHIN7,TRCTPOP8,SHRWHT8,SHRBLK8,SHRHSP8,TRVLPB8N,TRVLPB8D,FAVINC8,AVHHIN8,MDGRENT8,TRCTPOP9,SHRWHT9,SHRBLK9,SHRHSP9,TRVLPB9N,TRVLPB9D,FAVINC9,AVHHIN9,MDGRENT9,TRCTPOP0,SHRWHT0,SHRBLK0,SHRHSP0,TRVLPB0N,TRVLPB0D,FAVINC0,AVHHIN0,MDGRENT0,TRCTPOP1,SHRWHT1,SHRBLK1,SHRHSP1,TRVLPB1A,FAVINC1A,AVHHIN1A,MDGRENT1A
06037224010,2169,0.905486,0.052559,0.598893,6725.366667,5233.061964,2800,0.302500,0.012143,0.894286,452,1160,9343.872193,9582.519819,155,2789,0.207243,0.029401,0.910362,450,1298,19294.954724,19503.055249,383,2716,0.272828,0.065906,0.846097,340,895,28434.298039,24487.104583,381,2433,0.389231,0.156186,0.713111,0.499,23576.372,26867.045,549
06037224020,2694,0.800297,0.100223,0.634744,6487.434095,5668.650780,3269,0.281432,0.024166,0.881309,461,1379,11701.800872,10837.244511,167,3732,0.180868,0.034298,0.914791,644,1816,19238.616085,19754.620227,386,3485,0.376471,0.032712,0.925968,404,1106,35555.963173,32396.411514,427,2789,0.406239,0.098960,0.836501,0.222,33879.599,32072.932,678
06037224420,2091,0.797704,0.172645,0.630799,7551.788671,6409.853301,2989,0.362663,0.056206,0.788223,301,1187,13005.526596,11733.559524,177,3190,0.257367,0.065831,0.809718,286,1292,22631.792808,21724.315789,425,2430,0.347325,0.056379,0.852675,231,846,30935.940803,29466.764275,397,2369,0.370621,0.076404,0.827775,0.283,37979.853,28559.503,660
