AREAKEY,TRCTPOP7,SHRWHT7,SHRBLK7,SHRHSP7,FAVINC7,AVHHIN7,TRCTPOP8,SHRWHT8,SHRBLK8,SHRHSP8,TRVLPB8N,TRVLPB8D,FAVINC8,AVHHIN8,MDGRENT8,TRCTPOP9,SHRWHT9,SHRBLK9,SHRHSP9,TRVLPB9N,TRVLPB9D,FAVINC9,AVHHIN9,MDGRENT9,TRCTPOP0,SHRWHT0,SHRBLK0,SHRHSP0,TRVLPB0N,TRVLPB0D,FAVINC0,AVHHIN0,MDGRENT0,TRCTPOP1,SHRWHT1,SHRBLK1,SHRHSP1,TRVLPB1A,FAVINC1A,AVHHIN1A,MDGRENT1A
06037203720,3662,0.904424,0.010104,0.858274,7490.000000,7063.155683,3823,0.438399,0.000000,0.934606,314,1277,14076.892344,13306.654038,206,4489,0.377812,0.002673,0.958343,343,1574,26260.164080,25513.133460,467,4344,0.337937,0.000691,0.979282,286,1227,26656.738392,27211.595547,534,4001,0.495876,0.015246,0.966508,0.268,39505.108,41655.678,799
06037204200,2805,0.781818,0.065241,0.774688,7565.390505,6307.003090,3183,0.576186,0.053723,0.832862,413,1209,13459.890464,12415.650000,186,4001,0.628343,0.007998,0.926768,478,1636,27042.540574,27104.865290,433,3280,0.417073,0.002134,0.929878,152,982,27821.843972,26570.231533,529,3303,0.479261,0.012413,0.940357,0.264,34301.163,36851.360,801
06037204300,4573,0.861360,0.000000,0.781325,8152.441406,7273.591549,4250,0.500000,0.001412,0.871294,387,1472,15721.606765,14490.276631,189,5082,0.612357,0.003148,0.922865,406,1932,25848.285998,25794.655488,425,4995,0.404404,0.001401,0.941542,334,1312,33542.769231,31260.563380,543,4787,0.527470,0.007103,0.949029,0.125,40738.699,37163.354,854
06037204410,1809,0.859591,0.009397,0.858485,7321.742389,6459.624365,2046,0.463343,0.000000,0.897849,250,688,12949.858173,11857.241441,186,2650,0.426038,0.002642,0.951698,310,1003,24156.665362,24287.673077,434,2472,0.344660,0.006472,0.924353,114,717,28941.176471,31242.689076,575,2363,0.530258,0.009733,0.936098,0.103,46398.153,42193.729,807
06037204420,2934,0.859577,0.009202,0.858555,7318.637807,6457.989572,3319,0.463091,0.000000,0.898162,405,1116,12947.198519,11861.928889,186,4299,0.425913,0.002791,0.951617,502,1626,24185.150966,24318.713155,434,3782,0.403755,0.003702,0.958488,444,1129,24164.615385,22822.159624,497,3138,0.597196,0.034736,0.941045,0.278,36907.196,43359.468,821
