AREAKEY,TRCTPOP7,SHRWHT7,SHRBLK7,SHRHSP7,FAVINC7,AVHHIN7,TRCTPOP8,SHRWHT8,SHRBLK8,SHRHSP8,TRVLPB8N,TRVLPB8D,FAVINC8,AVHHIN8,MDGRENT8,TRCTPOP9,SHRWHT9,SHRBLK9,SHRHSP9,TRVLPB9N,TRVLPB9D,FAVINC9,AVHHIN9,MDGRENT9,TRCTPOP0,SHRWHT0,SHRBLK0,SHRHSP0,TRVLPB0N,TRVLPB0D,FAVINC0,AVHHIN0,MDGRENT0,TRCTPOP1,SHRWHT1,SHRBLK1,SHRHSP1,TRVLPB1A,FAVINC1A,AVHHIN1A,MDGRENT1A
06037128210,2773,0.995673,0.001442,0.250631,10553.854839,8671.254685,2974,0.724613,0.023201,0.327505,106,1412,20371.405732,17403.511272,278,4448,0.642311,0.052608,0.542941,161,2084,34448.773173,31238.258883,600,5194,0.413939,0.074894,0.788410,312,1533,24858.492280,30626.333789,635,4822,0.537951,0.055993,0.790958,0.157,34176.419,36958.003,984
06037128303,2374,0.953243,0.007161,0.258214,10742.970149,8346.982961,2906,0.657261,0.007915,0.569167,126,1361,18570.209651,16660.146455,278,3893,0.521706,0.035448,0.693809,174,1616,28613.041975,30119.646500,585,4087,0.443112,0.025447,0.862246,333,1409,30198.056156,31090.358127,605,3982,0.484179,0.039176,0.854345,0.212,31963.056,35991.619,967
06037128601,2407,0.991691,0.000415,0.076444,14075.104372,12133.255717,2223,0.924876,0.011696,0.095367,46,1152,27785.561139,22099.274436,322,2413,0.828015,0.035640,0.179030,62,1269,61072.202422,47929.063167,682,2709,0.718715,0.070506,0.271318,79,1248,59295.319489,54641.499579,718,4288,0.621968,0.062966,0.485541,0.139,49098.881,56211.497,1020
