AREAKEY,TRCTPOP7,SHRWHT7,SHRBLK7,SHRHSP7,FAVINC7,AVHHIN7,TRCTPOP8,SHRWHT8,SHRBLK8,SHRHSP8,TRVLPB8N,TRVLPB8D,FAVINC8,AVHHIN8,MDGRENT8,TRCTPOP9,SHRWHT9,SHRBLK9,SHRHSP9,TRVLPB9N,TRVLPB9D,FAVINC9,AVHHIN9,MDGRENT9,TRCTPOP0,SHRWHT0,SHRBLK0,SHRHSP0,TRVLPB0N,TRVLPB0D,FAVINC0,AVHHIN0,MDGRENT0,TRCTPOP1,SHRWHT1,SHRBLK1,SHRHSP1,TRVLPB1A,FAVINC1A,AVHHIN1A,MDGRENT1A
06037241202,5441,0.143356,0.841941,0.062121,8675.443678,7899.881977,5176,0.086360,0.810665,0.150309,179,1827,16135.407853,15433.280562,214,5387,0.075738,0.682384,0.300910,143,1828,29684.077824,28444.001916,558,5537,0.159111,0.543074,0.448618,235,1448,36415.816092,33776.654040,540,4943,0.248230,0.435161,0.560186,0.213,46352.482,43619.766,879
06037241300,2374,0.122578,0.869419,0.073715,9335.391823,8511.553501,2180,0.102752,0.727982,0.239908,36,830,15945.406250,15458.367263,213,2339,0.085934,0.619496,0.401454,47,858,30447.223790,30317.516080,456,2280,0.234649,0.468860,0.491228,98,593,41202.040777,37907.280675,524,2313,0.187203,0.471682,0.517077,0.073,49063.383,39427.639,917
06037241400,2574,0.108392,0.878399,0.100233,6612.873043,5791.261294,1701,0.047031,0.830100,0.138742,64,445,12793.442748,12206.898990,213,1903,0.156069,0.552811,0.444561,40,526,22822.373402,21683.176591,557,2321,0.125377,0.434296,0.570875,32,578,30811.130621,30500.617544,614,3285,0.250837,0.375647,0.626788,0.065,48940.283,51130.702,1610
