AREAKEY,TRCTPOP7,SHRWHT7,SHRBLK7,SHRHSP7,FAVINC7,AVHHIN7,TRCTPOP8,SHRWHT8,SHRBLK8,SHRHSP8,TRVLPB8N,TRVLPB8D,FAVINC8,AVHHIN8,MDGRENT8,TRCTPOP9,SHRWHT9,SHRBLK9,SHRHSP9,TRVLPB9N,TRVLPB9D,FAVINC9,AVHHIN9,MDGRENT9,TRCTPOP0,SHRWHT0,SHRBLK0,SHRHSP0,TRVLPB0N,TRVLPB0D,FAVINC0,AVHHIN0,MDGRENT0,TRCTPOP1,SHRWHT1,SHRBLK1,SHRHSP1,TRVLPB1A,FAVINC1A,AVHHIN1A,MDGRENT1A
06037575902,2263,0.952718,0.009722,0.083959,6246.787611,4119.205181,3030,0.795050,0.042904,0.296040,139,879,12466.968224,9073.722491,173,4010,0.558354,0.121945,0.496259,310,1571,24035.910067,21783.358774,423,5108,0.446359,0.218285,0.391347,307,2177,29103.174603,29710.482020,488,4762,0.463671,0.237925,0.372533,0.171,47659.255,42875.160,787
06037576001,3284,0.975639,0.012485,0.050548,10673.656652,5034.624759,3738,0.856073,0.041466,0.140984,300,1058,20997.050459,12294.767768,165,2422,0.864162,0.049959,0.181668,141,1170,45336.174026,33488.550661,430,3252,0.660824,0.164207,0.170664,134,1575,73237.641425,43946.559071,531,4969,0.580398,0.155162,0.183538,0.092,106379.754,86294.774,1326
06037576200,3464,0.986143,0.000000,0.060624,7800.977444,4815.120712,3646,0.826934,0.026879,0.186506,278,1146,14353.782680,8968.072007,181,4641,0.510235,0.164404,0.344538,402,1775,20305.375610,18518.936097,440,5670,0.455379,0.193474,0.522751,454,1723,27854.137587,23992.432006,480,6158,0.482787,0.227022,0.464599,0.156,52971.042,48425.505,909
